1
 ESATAN-TMS  2018 sp1                                                  Page     1
 15 February  2023  13:29:48                                  FINALMODEL_COMMSOFF





  TIMEN =      0.00      MODULE SOLVFM      LOOPCT =    17
 ENBALA = 9.347E-03      ENBALR = 0.0002


 TABLE OUTPUT WITH ZENTS = 'L,T,QS,QE,QA,QI,C'
 FOR NODES OF ZLABEL = ' '

 ================================================================================


+FINALMODEL_COMMSOFF                                                             


          NODE   LABEL                              T             QS            

            1    Firstplate                       27.16          0.00
            2    Firstplate                       27.35          0.00
            3    Firstplate                       27.51          0.00
            4    Firstplate                       27.63          0.00
            5    Thirdplate                       27.19          0.00
            6    Thirdplate                       27.20          0.00
            7    Thirdplate                       27.21          0.00
            8    Thirdplate                       27.22          0.00
            9    Secondplate                      27.43          0.00
           10    Secondplate                      27.43          0.00
           11    Secondplate                      27.50          0.00
           12    Secondplate                      27.48          0.00
           13    Panel4                           38.23          3.29
           14    Panel4                           38.04          3.29
           15    Panel4                           38.77          3.29
           16    Panel4                           38.60          3.29
           17    Panel4                           38.08          3.29
           18    Panel4                           37.86          3.29
           19    Bottompanel                      24.58          0.21
           20    Bottompanel                      24.73          0.21
           21    Bottompanel                      26.78          0.21
           22    Bottompanel                      26.93          0.21
           23    TRXU                             36.38          0.00
           24    TRXU                             36.40          0.00
           25    TRXU                             36.38          0.00
           26    TRXU                             36.40          0.00
           27    TRXU                             36.38          0.00
           28    TRXU                             36.40          0.00
           29    TRXU                             36.38          0.00
           30    TRXU                             36.40          0.00
           31    TRXU                             37.47          0.00
           32    TRXU                             37.51          0.00
           33    TRXU                             37.47          0.00
           34    TRXU                             37.51          0.00
           35    TRXU                             37.47          0.00
           36    TRXU                             37.51          0.00
           37    TRXU                             37.47          0.00
           38    TRXU                             37.51          0.00
           39    TRXU                             36.40          0.00
           40    TRXU                             36.43          0.00
           41    TRXU                             36.40          0.00
           42    TRXU                             36.44          0.00
           43    TRXU                             36.40          0.00
           44    TRXU                             36.43          0.00
           45    TRXU                             36.40          0.00
           46    TRXU                             36.44          0.00
           47    TRXU                             39.94          0.00
           48    TRXU                             39.94          0.00
           49    TRXU                             39.94          0.00
           50    TRXU                             39.94          0.00
           51    TRXU                             39.94          0.00
           52    TRXU                             39.94          0.00
           53    TRXU                             39.94          0.00
           54    TRXU                             39.94          0.00
           55    TRXU                             37.48          0.00
           56    TRXU                             37.51          0.00
           57    TRXU                             37.47          0.00
           58    TRXU                             37.51          0.00
           59    TRXU                             37.48          0.00
           60    TRXU                             37.51          0.00
           61    TRXU                             37.47          0.00
           62    TRXU                             37.51          0.00
           63    TRXU                             37.48          0.00
           64    TRXU                             37.51          0.00
           65    TRXU                             37.48          0.00
           66    TRXU                             37.51          0.00
           67    TRXU                             37.47          0.00
           68    TRXU                             37.51          0.00
           69    TRXU                             37.47          0.00
           70    TRXU                             37.51          0.00
           71    OBC                              43.20          0.00
           72    OBC                              43.16          0.00
           73    OBC                              43.16          0.00
           74    OBC                              43.14          0.00
           75    OBC                              43.25          0.00
           76    OBC                              43.22          0.00
           77    OBC                              43.23          0.00
           78    OBC                              43.22          0.00
           79    OBC                              41.72          0.00
           80    OBC                              41.73          0.00
           81    OBC                              41.72          0.00
           82    OBC                              41.73          0.00
           83    OBC                              43.26          0.00
           84    OBC                              43.26          0.00
           85    OBC                              43.26          0.00
           86    OBC                              43.26          0.00
           87    OBC                              43.24          0.00
           88    OBC                              43.25          0.00
           89    OBC                              43.24          0.00
           90    OBC                              43.24          0.00
           91    OBC                              43.37          0.00
           92    OBC                              43.41          0.00
           93    OBC                              43.30          0.00
           94    OBC                              43.36          0.00
           95    ADCS                             27.68          0.00
           96    ADCS                             27.67          0.00
           97    ADCS                             27.68          0.00
           98    ADCS                             27.68          0.00
           99    ADCS                             27.68          0.00
          100    ADCS                             27.67          0.00
          101    ADCS                             27.68          0.00
          102    ADCS                             27.67          0.00
          103    ADCS                             27.67          0.00
          104    ADCS                             27.68          0.00
          105    ADCS                             27.67          0.00
          106    ADCS                             27.68          0.00
          107    ADCS                             27.69          0.00
          108    ADCS                             27.69          0.00
          109    ADCS                             27.68          0.00
          110    ADCS                             27.69          0.00
          111    ADCS                             27.69          0.00
          112    ADCS                             27.68          0.00
          113    ADCS                             27.69          0.00
          114    ADCS                             27.68          0.00
          115    ADCS                             27.68          0.00
          116    ADCS                             27.68          0.00
          117    ADCS                             27.67          0.00
          118    ADCS                             27.67          0.00
          119    Fourthplate                      26.00          0.00
          120    Fourthplate                      25.76          0.00
          121    Fourthplate                      26.09          0.00
          122    Fourthplate                      25.84          0.00
          123    Fourthplate                      26.25          0.00
          124    Fourthplate                      26.11          0.00
          125    Fourthplate                      26.21          0.00
          126    Fourthplate                      26.06          0.00
          127    Fourthplate                      26.12          0.00
          128    Fourthplate                      26.18          0.00
          129    Fourthplate                      26.06          0.00
          130    Fourthplate                      26.13          0.00
          131    Fourthplate                      26.21          0.00
          132    Fourthplate                      26.35          0.00
          133    Fourthplate                      26.15          0.00
          134    Fourthplate                      26.31          0.00
          135    Fourthplate                      26.34          0.00
          136    Fourthplate                      26.27          0.00
          137    Fourthplate                      26.30          0.00
          138    Fourthplate                      26.23          0.00
          139    Fourthplate                      26.55          0.00
          140    Fourthplate                      26.46          0.00
          141    Fourthplate                      26.50          0.00
          142    Fourthplate                      26.41          0.00
          143    EPS                              30.14          0.00
          144    EPS                              30.14          0.00
          145    EPS                              30.16          0.00
          146    EPS                              30.16          0.00
          147    EPS                              30.13          0.00
          148    EPS                              30.13          0.00
          149    EPS                              30.13          0.00
          150    EPS                              30.13          0.00
          151    EPS                              30.13          0.00
          152    EPS                              30.15          0.00
          153    EPS                              30.13          0.00
          154    EPS                              30.15          0.00
          155    EPS                              30.16          0.00
          156    EPS                              30.16          0.00
          157    EPS                              30.16          0.00
          158    EPS                              30.16          0.00
          159    EPS                              30.15          0.00
          160    EPS                              30.13          0.00
          161    EPS                              30.15          0.00
          162    EPS                              30.13          0.00
          163    EPS                              30.15          0.00
          164    EPS                              30.15          0.00
          165    EPS                              30.13          0.00
          166    EPS                              30.13          0.00
